epoch,loss,accuracy
1,0.6611466509938588,0.6144029170464904
2,0.6062601427302694,0.7784867821330902
3,0.5083842332919211,0.8696444849589791
4,0.3930244062543217,0.8896991795806746
5,0.3015299338253051,0.8915223336371924
6,0.22920740685463092,0.9434822242479489
7,0.16666239821395665,0.9562443026435734
8,0.12871045931572841,0.9726526891522334
9,0.10648518072620611,0.9690063810391978
10,0.08312142398214176,0.9826800364630811
